X_1 Y_1 X_2 Y_2 X_3 Y_3 X_4 Y_4 X_5 Y_5 X_6 Y_6 X_7 Y_7 X_8 Y_8 X_9 Y_9 X_10 Y_10 
1.96459 2.22851 1.20841 5.31598 1.42709 7.13318 3.42576 11.1683 6.6376 5.41082 6.3248 11.225 6.4337 1.23369 6.26082 3.22879 4.88273 5.69736 6.02039 5.74148
2.0337 2.15875 1.20938 5.22835 1.35338 7.06123 3.35075 11.137 6.65529 5.63042 6.2499 11.2511 6.56514 1.27465 6.31553 3.26771 4.83737 5.58799 5.94685 5.77877
2.10488 2.09071 1.21224 5.14053 1.28118 6.98693 3.2762 11.1046 6.62391 5.86627 6.17463 11.2763 6.69493 1.32021 6.36857 3.30948 4.80842 5.47429 5.87806 5.81326
2.17808 2.02442 1.21694 5.05262 1.21067 6.9104 3.20214 11.0712 6.54522 6.10643 6.09895 11.3004 6.82288 1.37025 6.41996 3.35403 4.79617 5.35933 5.8121 5.84597
2.25323 1.95994 1.2235 4.96471 1.14201 6.83173 3.12856 11.0368 6.42468 6.32756 6.02286 11.3236 6.94884 1.42462 6.46974 3.40128 4.79984 5.24652 5.74653 5.87698
2.33027 1.89729 1.2319 4.87689 1.07534 6.75102 3.05545 11.0012 6.27304 6.50756 5.94638 11.3459 7.07264 1.48318 6.51795 3.45121 4.81788 5.13899 5.67976 5.90517
2.40912 1.8365 1.24214 4.78923 1.01077 6.66834 2.9828 10.9646 6.10092 6.64229 5.86956 11.3672 7.19415 1.54577 6.56462 3.50381 4.84823 5.03914 5.61142 5.92935
2.48972 1.77763 1.25424 4.70177 0.948406 6.58376 2.91059 10.9268 5.91479 6.73672 5.79242 11.3876 7.31323 1.61224 6.6097 3.55915 4.88862 4.94844 5.54189 5.94893
2.57201 1.72072 1.26823 4.61457 0.888317 6.49735 2.83883 10.8881 5.71809 6.79561 5.71504 11.4072 7.42973 1.68243 6.65313 3.61727 4.93682 4.86743 5.47177 5.96392
2.65592 1.66582 1.28414 4.52764 0.830579 6.40916 2.7675 10.8484 5.51289 6.82189 5.63746 11.4259 7.54353 1.75615 6.69483 3.67824 4.9907 4.79593 5.40162 5.97485
2.7414 1.613 1.302 4.44101 0.775253 6.31925 2.6966 10.8077 5.30106 6.81729 5.55974 11.4436 7.65449 1.83324 6.73465 3.74211 5.04834 4.73316 5.33175 5.98265
2.82839 1.56234 1.32187 4.3547 0.722395 6.22767 2.62614 10.7662 5.08523 6.78317 5.48193 11.4606 7.76248 1.9135 6.77241 3.80895 5.10803 4.67803 5.2621 5.98846
2.91684 1.51392 1.3438 4.26872 0.672055 6.13446 2.55611 10.7237 4.86978 6.72136 5.40408 11.4766 7.86739 1.99675 6.80787 3.87878 5.16831 4.62915 5.19219 5.99328
3.00671 1.46781 1.36785 4.18308 0.624276 6.03967 2.48653 10.6804 4.66147 6.63464 5.3262 11.4917 7.96911 2.0828 6.84074 3.95164 5.22806 4.58504 5.12135 5.99763
3.09795 1.4241 1.39407 4.09779 0.579096 5.94334 2.41741 10.6364 4.46856 6.5264 5.24832 11.5058 8.06752 2.17143 6.8707 4.0275 5.28658 4.54413 5.04913 6.0014
3.19052 1.38285 1.42251 4.01286 0.536541 5.84554 2.34877 10.5915 4.29847 6.39979 5.17045 11.519 8.16254 2.26247 6.89736 4.10635 5.34374 4.50496 4.97544 6.00414
3.28436 1.34413 1.45321 3.9283 0.496625 5.74633 2.28066 10.5459 4.15607 6.25717 5.09258 11.5312 8.25408 2.35572 6.92031 4.18817 5.39992 4.46622 4.90031 6.00536
3.37945 1.308 1.48619 3.84412 0.459352 5.64579 2.2131 10.4996 4.04426 6.10017 5.01473 11.5423 8.34207 2.45103 6.93906 4.27291 5.45596 4.42693 4.82369 6.0045
3.47572 1.27448 1.52144 3.76033 0.424717 5.54403 2.14612 10.4525 3.96529 5.93027 4.9369 11.5525 8.42644 2.54822 6.95308 4.36049 5.51307 4.38645 4.74539 6.00079
3.57315 1.24361 1.55897 3.67693 0.39271 5.44116 2.07977 10.4046 3.92151 5.75017 4.8591 11.5616 8.50714 2.64715 6.96176 4.45077 5.57272 4.3446 4.66519 5.993
3.67169 1.21541 1.59872 3.59392 0.363319 5.3373 2.01405 10.356 3.91468 5.56627 4.78133 11.5696 8.5841 2.74768 6.96446 4.5435 5.63652 4.30175 4.58319 5.9795
